"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-13","60","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-14","61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-15","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-16","59","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-17","61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-18","56","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-19","60","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-20","61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-21","59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-22","65","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-23","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-24","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-25","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-26","57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-27","60","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-28","61","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-29","67","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-30","57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-05-31","65","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-01","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-02","62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-03","63","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-04","71","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-05","71","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-06","61","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-07","67","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-08","80","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-09","91","61"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-10","97","72"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-11","92","68"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-12","79","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-13","63","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-14","61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-15","59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-16","59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-17","66","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-18","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-19","65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-20","65","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-21","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-22","72","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-23","73","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-24","67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-25","66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-26","65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-27","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-28","65","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-29","63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-06-30","63","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-01","64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-02","65","54"
